gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
LY6D,13.9867704527523,6.21409531394397,1.18061157378598,2.35956153958711e-08,1.56781958769036e-06
CXCL5,63.522089668623,4.56872789992624,0.849939875121189,2.409353544821e-08,1.59420573045185e-06
TIMP1,159.229864028675,1.57435798693775,0.344175709549897,2.43521418350549e-08,1.60460321241483e-06
PAGR1,6.02484121906833,6.07247553932906,1.15212113112587,2.46283979429236e-08,1.61607255215516e-06
AP005329.3,3.44534016685213,5.45861354292053,1.02580736323746,2.53646071747336e-08,1.6575037101704e-06
AL365226.2,22.5235351123792,7.17797511379306,1.40701461882273,2.68028110556452e-08,1.74427841166244e-06
PTPRCAP,11.6664905147403,5.83732747633964,1.10668189673693,2.72856937238644e-08,1.76842606782455e-06
MIA,36.3682356100997,4.02744413038308,0.755032475890728,2.75771929894973e-08,1.78002338749351e-06
PRR7,7.24906912705849,1.43202454576841,0.304322326012842,2.83038627472607e-08,1.81950116050886e-06
SPIB,1.70792540565485,4.67159422888903,0.874783377395564,2.85554953158291e-08,1.82824535596972e-06
UQCR11.1,35.1278960197469,23.3992008983212,5.24752956826879,2.94215874600727e-08,1.87610074231286e-06
CCL20,93.5583577618041,3.79240426188372,0.716601432050984,2.97386592670848e-08,1.88870344437622e-06
BNIP1,6.59359783749702,-1.05214748451875,0.203912102314608,2.99267078825947e-08,1.89304383382141e-06
ZCRB1,49.6829166632177,-1.14653746167411,0.226584897353259,3.03246409431952e-08,1.91057319472386e-06
EIF2D,12.2214080182031,-1.22494995477455,0.246968350614942,3.13147915481584e-08,1.95736013257936e-06
MISP,76.1387470621199,1.55613007329395,0.34260955565074,3.12667661247e-08,1.95736013257936e-06
SULT1A2,3.83079406920498,4.62912075289356,0.870422381147453,3.20846612432852e-08,1.99758595630438e-06
CENPS,3.00922741261617,5.37518496125717,1.01893536333481,3.32487942925442e-08,2.06194679585213e-06
APOA4,48.6601781300106,9.12566240437939,2.08580138015371,3.51655025290854e-08,2.17229397263655e-06
ANKRD36,20.2118425077801,3.52800958289421,0.678661404564367,3.5875900824295e-08,2.2075544577253e-06
AC073332.1,2.39104565411462,5.16374852963071,0.980553831427796,3.74415815437768e-08,2.2949657772608e-06
PDIA5,20.2310213026228,-1.59551407026609,0.35735060937369,3.8098399206102e-08,2.32620882256872e-06
GMDS-DT,6.87935363308208,5.8736622687555,1.12867637542003,3.85242149872711e-08,2.34316129157194e-06
FRMD4A,2.8784654974647,-2.47913769619273,0.538642604477455,3.92068395389169e-08,2.37554390984074e-06
AC087239.1,13.3754327958655,6.17752275941009,1.19700042698867,4.07649234206644e-08,2.46052098845186e-06
MUC20-OT1,29.2882270168258,6.62863780637437,1.29926103778207,4.12031707957555e-08,2.47523602849619e-06
IQANK1,4.21508888179492,5.36963046711485,1.02607401673724,4.13217599293661e-08,2.47523602849619e-06
